Designator,Mid X,Mid Y,Rotation,Layer
C1,107.9385,-42.4,0.0,top
C10,138.3,-141.9,270.0,top
C11,138.3,-107.9,270.0,top
C12,138.3,-73.4875,270.0,top
C2,96.3385,-50.5,180.0,top
C3,94.8635,-47.6,180.0,top
C4,107.1135,-40.0,0.0,top
C5,141.2,-177.2,270.0,top
C6,141.2,-142.7,270.0,top
C7,141.2,-108.7,270.0,top
C8,141.2125,-74.2875,270.0,top
C9,138.3,-176.4,270.0,top
D1,171.5,-159.8,270.0,top
D10,98.4785,-66.5,0.0,top
D11,95.3385,-40.2,90.0,top
D2,171.5,-189.7,90.0,top
D3,171.5,-125.3,270.0,top
D4,171.5,-155.2,90.0,top
D5,171.5,-91.3,270.0,top
D6,171.5,-121.2,90.0,top
D7,171.5,-56.9075,270.0,top
D8,171.5,-86.8075,90.0,top
D9,163.37,-50.25,0.0,top
J6,168.2305,-46.21,90.0,top
R1,163.3,-45.55,180.0,top
R10,168.6,-125.4,0.0,top
R11,150.9,-143.6,90.0,top
R12,167.5,-155.7,0.0,top
R13,150.9,-102.6,90.0,top
R14,150.9,-106.0,90.0,top
R15,168.6,-91.4,0.0,top
R16,150.9,-109.6,90.0,top
R17,167.5,-121.7,0.0,top
R18,150.9125,-68.2125,90.0,top
R19,150.9125,-71.6125,90.0,top
R2,163.3,-47.15,180.0,top
R20,168.5625,-57.0075,0.0,top
R21,150.9125,-75.2125,90.0,top
R22,167.4625,-87.3075,0.0,top
R3,150.9,-171.1,90.0,top
R4,150.9,-174.5,90.0,top
R5,168.6,-159.9,0.0,top
R6,150.9,-178.1,90.0,top
R7,167.5,-190.2,0.0,top
R8,150.9,-136.6,90.0,top
R9,150.9,-140.0,90.0,top
U2,144.8,-174.6,0.0,top
U3,144.8,-140.1,0.0,top
U4,144.8,-106.1,0.0,top
U5,144.8225,-71.7325,0.0,top
U8,101.0385,-45.3,180.0,top
